sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
JA 118,loamy sand,7.8,7.9,51,478,268,3050,11,1.04,0.7,76,77,1.55,10.15,6.03,10.99,75.08,7.87,0.35,14.85,5.73,
JA 119,loamy sand,7.8,7.85,38,469,265,2764,8,0.93,0.78,77,85,1.48,9.81,6.12,11.24,70.39,12.22,0.35,1.1,1.48,
JA 120,loamy sand,8,7.85,56,570,306,3455,10,1.14,0.84,78,79,1.68,11.84,6.17,10.76,72.93,10.13,0.44,3.65,1.24,
KS 121,sandy clay loam,8.2,7.8,47,708,1790,3050,38,4.31,1.48,288,89,4.82,17.59,5.15,42.39,43.34,9.09,0.9,6.49,1.07,
KS 122,sandy clay loam,7.7,7.8,60,909,2038,3676,86,4.82,1.65,331,86,5.12,20.44,5.69,41.53,44.94,7.82,0.95,74.3,1.33,
KS 123,sandy clay loam,7.5,7.8,51,1050,1622,3964,100,4.34,1.54,324,89,4.88,19.61,6.86,34.45,50.52,8.15,1.05,82.8,2.42,
KS 124,sandy clay loam,7.9,7.8,62,1098,1540,3605,26,4.52,1.65,330,87,4.99,18.43,7.63,34.8,48.88,8.67,0.94,6.03,2.86,
KS 125,sandy loam,7.6,7.8,55,852,1009,2850,19,2.47,1.23,217,85,3.41,14.02,7.79,29.98,50.81,11.41,0.76,7.35,1.23,
KS 126,sandy loam,7.4,7.8,46,746,1040,2834,19,2.46,1.31,213,82,3.2,13.97,6.84,31,50.69,11.44,0.71,9.63,1.24,
KS 127,sandy loam,7.6,7.8,37,715,1018,2754,16,2.1,0.99,239,89,3.39,13.64,6.71,31.08,50.46,11.72,0.67,9.11,1.63,
KS 128,sandy loam,7.6,7.8,33,730,1082,2837,13,2.2,0.93,238,86,3.51,14.13,6.62,31.89,50.17,11.31,0.71,6.39,1.45,
KS 129,sandy clay loam,7.8,7.75,24,956,755,5721,25,2.3,1.3,316,80,4.37,20.67,5.92,15.21,69.18,9.67,1.38,8.29,4.86,
KS 130,sandy clay loam,7.2,7.75,22,898,775,4571,23,1.86,1.2,303,90,4.05,17.8,6.46,18.13,64.17,11.23,1.25,10.54,3.69,
KS 131,sandy clay loam,7.3,7.7,18,846,774,5003,25,1.9,1.16,328,92,4.18,19.21,5.64,16.78,65.08,12.48,1.27,11.17,5.5,
KS 132,sandy clay loam,7.5,7.75,31,981,734,4746,30,2.01,1.23,333,97,4.24,18.18,6.91,16.82,65.26,11,1.27,8.15,3.9,
EE 21,clay loam,7.6,7.7,99,1378,1541,4854,44,3.28,3.48,389,74,4.37,22.72,7.77,28.25,53.4,10.56,1.6,31.09,4.08,
EE 22,clay loam,7.3,7.7,110,1369,1553,4805,39,2.89,4.82,406,74,4.74,22.63,7.75,28.58,53.06,10.6,1.56,29.07,1.99,
